Name,V,M,n,np,B,G,E,v,H,B',G',_,vL,vS,va,_e,_el,_es,_e,A,y-theory,y-exp
66_C,11.41,24.022,2,2,431.745,518.249,1110.438653,0.071336996,95.90230705,-104.589,-85.5965,3.496005171,17.92067129,12.17539902,13.27680911,1755.800206,0.944703921,0.775598601,0.835777458,7.83E-07,547.1030919,5200
20012_InSb,73.73,236.57,2,2,36.8242,14.5179,38.49484944,0.325771959,3.219550048,-1.94439,0.3045,5.327997153,3.247239241,1.650706678,1.849941434,131.3469021,0.842791043,-0.939877152,0.908668414,9.57E-07,4.344093931,36.5
1190_ZnSe,47.34,144.35,2,2,56.3189,29.0179,74.29390374,0.28013922,6.603032251,-4.2422,-0.26488,5.063339905,4.331764348,2.393946544,2.66736415,219.524413,0.978193196,0.049396853,0.566198442,3.08E-07,8.835526534,52
682_NaF,24.74,41.988,2,2,52.4118,36.3275,88.52888121,0.218482984,10.65396585,-7.08337,-3.81125,2.818214476,5.982016809,3.590299967,3.971626291,405.7997213,1.325487935,1.131114973,1.199411026,1.86E-06,17.65563632,34.9
16220_Si,40.97,56.17,2,2,90.0009,63.4097,154.0505711,0.214724017,15.04334547,-7.52203,-1.50861,2.27660145,8.756144051,5.277574166,5.835682027,503.979531,0.95219396,0.320701604,0.608925933,3.66E-07,40.81575156,312
5967_CoSbTi,50.92,228.563,3,3,99.1099,75.0202,179.7159088,0.197783456,18.05139765,-13.313,-3.95894,7.453599973,5.16883606,3.172532417,3.501589138,281.2628161,2.210300912,1.176899631,1.59745794,3.71E-06,30.43366395,37
2760096_BeBiLi,227.56,900.012,12,3,46.339,40.1131,93.39138686,0.164100841,14.64332608,-0.6288,-0.47273,6.560755218,3.900665252,2.472670206,2.719620717,210.5262698,1.2684832,1.174222454,1.206461268,1.89E-06,11.65205225,748.19
7140_SiC,125.96,240.576,12,12,212.562,187.444,434.5875726,0.159246422,36.87749136,-4.93794,-1.66011,3.171525414,12.07579755,7.68779287,8.451478118,501.9553105,0.807190127,0.391119807,0.564949941,3.06E-07,40.62075919,490
2542_BeO,28.08,50.026,4,4,209.486,155.782,374.512053,0.202038917,27.11105754,-21.545,-7.02538,2.958334127,11.87534155,7.256630768,8.012949206,784.8800454,0.873629998,0.466502346,0.632054389,4.01E-07,61.43935809,370
8062_SiC,21,40.096,2,2,212.057,193.395,444.927675,0.150308113,39.06536061,-29.6178,-11.9465,3.170518581,12.17434002,7.810115734,8.57836449,925.7093769,0.851040503,0.481944983,0.629500297,3.97E-07,146.4311219,360
1479_BP,23.5,41.785,2,2,161.638,163.001,365.9807239,0.12263337,39.75832318,-20.1941,-11.3623,2.952576048,11.32930836,7.430098791,8.139380141,846.0161314,0.929164453,0.652389812,0.755991956,6.16E-07,130.1235387,350
661_AlN,42.53,81.964,4,4,196.567,121.655,302.5492517,0.243472326,18.92455463,-13.5742,-1.02109,3.200194025,10.58819972,6.165621019,6.839809961,583.385334,0.718589688,0.011817398,0.414990137,1.46E-07,40.11840718,350
611448_C,22.87,48.044,4,4,434.165,523.852,1120.785827,0.069754269,97.09234088,-52.0279,-40.9103,3.488361959,18.01914127,12.25444176,13.36120445,1401.41519,0.909307024,0.726351362,0.792046267,6.89E-07,343.2958451,272
804_GaN,48.22,167.448,4,4,185.444,100.628,255.6437675,0.270241719,14.52086881,-14.3611,-0.4546,5.766354084,7.444965623,4.177426017,4.64892265,380.2651429,0.962380381,-0.057746625,0.557627517,2.97E-07,26.63748591,210
1008395_C,148.08,144.132,12,12,133.698,56.306,148.124172,0.315349803,7.685768632,-0.07171,2.62855,1.616264952,11.36529052,5.902297015,6.605707406,371.7324412,-1.384168228,-3.623098344,3.0642892,1.77E-05,20.5159539,206
629458_BC2N,23.74,48.834,4,4,373.272,411.309,902.4548599,0.097052168,75.79236776,-43.7572,-37.4547,3.415781896,16.4265348,10.97334517,11.99285006,1242.335127,1.040016986,0.914241578,0.958003246,1.09E-06,265.5942414,188
2653_BN,23.89,49.624,4,4,375.268,384.871,860.4550508,0.117848644,67.03144134,-41.8028,-28.375,3.449245978,16.04905116,10.5632002,11.56642495,1195.648969,0.904047207,0.713990424,0.782488765,6.69E-07,222.3511993,178
24_C,44.92,96.088,8,8,387.319,510.586,1064.150178,0.042087109,106.0841306,-24.812,-27.9579,3.552040873,17.3407169,11.98934546,13.04224047,1092.317488,1.138944228,1.063164222,1.089010297,1.48E-06,231.2337873,162
1100398_BeLiSb,51.32,137.773,3,3,55.4215,50.3091,115.8675484,0.151556561,17.67323714,-3.2598,-2.70439,4.457855796,5.242103221,3.359388771,3.690290464,295.6479925,1.271474012,1.212699043,1.232602139,1.99E-06,19.25712578,153.76
568410_C,46.93,96.088,8,8,415.737,469.277,1022.938878,0.089909455,84.21132684,-24.008,-15.7661,3.399907863,17.50183091,11.7484632,12.83186245,1059.130424,0.847906207,0.621676969,0.705197241,5.21E-07,179.763713,147
1078935_BC7,47.5,94.888,8,8,391.062,231.93,580.9421336,0.252408342,26.26056298,-22.14,-80.9735,3.317158561,14.5297977,8.361714755,9.285711575,763.3562268,4.245695191,8.125148213,7.072528888,1.32E-04,167.7900302,145
632329_C,47.82,96.088,8,8,403.91,453.931,990.6730312,0.091215439,82.16638519,-22.8201,-16.0875,3.336630615,17.39098114,11.66382127,12.74088103,1045.055935,0.882232598,0.680713497,0.753895679,6.12E-07,178.4810731,145
1077743_BC5,36.16,70.866,6,6,374.266,344.566,790.9653276,0.147770424,55.37606038,-27.3587,-13.8661,3.254303447,16.00562282,10.28980602,11.29916432,1017.294703,0.827603863,0.56091263,0.66185953,4.47E-07,140.0048202,137
2772322_ScBHg,198.52,1025.43,12,3,109.418,66.1716,165.2105674,0.248349499,12.8995587,-1.84583,-1.01657,8.568468651,4.80278657,2.778972261,3.084591197,249.896087,1.441033214,1.358228276,1.386379556,2.64E-06,22.42863122,134.35
1569_Be2C,20.33,30.037,3,3,200.476,232.258,502.6585468,0.08211245,57.53015551,-24.7072,-26.7937,2.453396402,14.42004124,9.729745463,10.61974786,1158.452804,1.03746667,1.005985989,1.016587873,1.25E-06,171.740875,129
1009818_CN2,18.25,40.013,3,3,397.144,249.696,619.2978098,0.240103586,29.35743859,-66.8499,32.4742,3.640715925,14.16085414,8.281564638,9.183553141,1038.483785,0.127691384,-1.353418056,1.107517639,1.54E-06,164.5279233,127
1079046_BC7,47.5,94.888,8,8,388.624,392.753,881.3532292,0.122019729,66.67454874,-22.2508,-15.734,3.317158561,16.5838153,10.88119617,11.91923889,979.8522333,0.958737077,0.784777371,0.846744319,8.08E-07,151.8454351,125
30148_B2C4N2,47.44,97.668,8,8,374.895,420.969,918.9459991,0.091465166,78.54429761,-21.8318,-17.8282,3.418661982,16.54829377,11.09678002,12.12174516,996.9197238,0.988761506,0.837884509,0.891020055,9.13E-07,167.9239221,120
585_MnB2,22.05,76.56,3,3,262.529,78.2193,213.458266,0.364485913,6.213817752,-38.3107,-6.17376,5.765565086,7.976390223,3.683290925,4.149308779,440.5374392,1.232187761,0.70352399,0.914362927,9.72E-07,23.70714283,117
1145_TiB2,25.68,69.502,3,3,261.322,252.517,572.989839,0.134556958,48.86007698,-31.0911,-25.358,4.49418381,11.53531058,7.495832876,8.220631718,829.564423,1.226849873,1.122738482,1.158482342,1.71E-06,166.2059021,110
